City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,Lavrentiya,65.5833,-171.0,13.17,92,100,19.53,RU,2021-03-28 23:58:43
129,Lock Haven,41.137,-77.4469,51.01,64,87,8.01,US,2021-03-29 00:03:08
130,Nuuk,64.1835,-51.7216,8.6,61,20,9.22,GL,2021-03-28 23:56:22
131,Tautira,-17.7333,-149.15,89.6,58,40,18.41,PF,2021-03-29 00:03:09
132,Beni,0.5,29.4667,67.71,72,99,2.17,CD,2021-03-29 00:03:09
133,Saint George,37.1041,-113.5841,75.99,16,1,3.44,US,2021-03-28 23:58:10
134,Arraial Do Cabo,-22.9661,-42.0278,77.81,88,56,8.25,BR,2021-03-28 23:58:11
135,Hofn,64.2539,-15.2082,27.5,62,27,10.11,IS,2021-03-28 23:58:51
136,Nancha,47.1333,129.2667,37.81,99,100,1.3,CN,2021-03-29 00:03:10
137,Ishikawa,26.4233,127.8214,73.4,94,75,5.75,JP,2021-03-29 00:03:10
138,Murgab,37.4966,61.9714,42.8,81,4,9.22,TM,2021-03-29 00:03:11
139,Micheweni,-4.9667,39.8333,80.55,80,22,4.0,TZ,2021-03-29 00:03:11
140,Flagstaff,35.1981,-111.6513,60.8,20,1,10.36,US,2021-03-28 23:58:16
141,Sterling,39.0062,-77.4286,57.99,58,90,20.71,US,2021-03-29 00:02:01
142,Qaanaaq,77.484,-69.3632,-20.81,75,66,5.91,GL,2021-03-28 23:58:01
143,Puerto Ayora,-0.7393,-90.3518,79.0,91,33,3.0,EC,2021-03-28 23:57:54
144,Hilo,19.7297,-155.09,73.4,73,90,10.36,US,2021-03-28 23:58:00
145,Pingzhuang,42.0372,119.2889,41.23,22,2,17.16,CN,2021-03-29 00:03:12
146,Purificacion,3.8587,-74.9313,80.08,73,53,3.8,CO,2021-03-29 00:03:12
147,Victoria,22.2855,114.1577,77.0,87,26,7.09,HK,2021-03-29 00:00:40
148,Lompoc,34.6391,-120.4579,66.99,82,0,16.11,US,2021-03-28 23:58:56
149,Ortona,42.3496,14.4039,53.01,93,90,1.14,IT,2021-03-29 00:03:12
150,Jiaojiang,28.6803,121.4428,64.99,95,27,1.01,CN,2021-03-29 00:03:13
151,Sakaiminato,35.55,133.2333,60.8,72,40,8.05,JP,2021-03-29 00:03:13
152,Bathsheba,13.2167,-59.5167,78.8,69,40,21.85,BB,2021-03-28 23:58:25
153,Valdivia,-39.8142,-73.2459,68.0,56,1,6.91,CL,2021-03-28 23:59:44
154,Voi,-3.3945,38.563,73.2,75,100,2.91,KE,2021-03-29 00:03:14
155,Teguise,29.0605,-13.564,64.4,77,20,3.44,ES,2021-03-28 23:59:45
156,Kahului,20.8947,-156.47,75.2,64,40,23.02,US,2021-03-28 23:57:56
157,Olafsvik,64.8945,-23.7142,28.96,63,100,13.69,IS,2021-03-29 00:03:14
158,Oranjemund,-28.55,16.4333,59.65,87,0,1.7,NA,2021-03-29 00:00:00
159,Severo-Yeniseyskiy,60.3725,93.0408,12.33,98,100,0.63,RU,2021-03-29 00:03:15
160,Denpasar,-8.65,115.2167,78.8,94,40,2.3,ID,2021-03-28 23:55:44
161,Vaitape,-16.5167,-151.75,82.76,72,45,20.09,PF,2021-03-29 00:03:15
162,Cabo San Lucas,22.8909,-109.9124,78.01,25,40,11.5,MX,2021-03-28 23:56:54
163,Takoradi,4.8845,-1.7554,79.54,86,12,7.72,GH,2021-03-29 00:03:16
164,Kodiak,57.79,-152.4072,44.6,49,1,9.22,US,2021-03-28 23:56:23
165,Ayan,56.45,138.1667,22.35,85,100,4.61,RU,2021-03-29 00:03:16
166,Marsh Harbour,26.5412,-77.0636,76.59,77,11,10.67,BS,2021-03-29 00:00:12
167,Porto Novo,6.4965,2.6036,82.4,83,20,6.91,BJ,2021-03-29 00:03:16
168,Mahebourg,-20.4081,57.7,75.2,88,20,5.75,MU,2021-03-28 23:58:26
169,Pacific Grove,36.6177,-121.9166,62.6,59,1,6.91,US,2021-03-29 00:01:09
170,Ust-Nera,64.5667,143.2,7.92,93,98,5.3,RU,2021-03-29 00:03:17
171,Ketchikan,55.3422,-131.6461,42.8,56,40,19.57,US,2021-03-28 23:58:30
172,Fortuna,40.5982,-124.1573,51.01,87,20,19.57,US,2021-03-28 23:58:16
173,Umrala,21.8333,71.8167,81.1,36,17,7.49,IN,2021-03-29 00:03:17
174,Half Moon Bay,37.4636,-122.4286,73.4,87,1,10.36,US,2021-03-28 23:58:18
175,Tura,25.5198,90.2201,71.53,26,0,4.94,IN,2021-03-28 23:57:56
176,Torbay,47.6666,-52.7314,25.0,68,75,2.3,CA,2021-03-28 23:58:30
177,Kapaa,22.0752,-159.319,77.0,73,90,18.41,US,2021-03-28 23:56:49
178,Champerico,14.3,-91.9167,87.8,66,75,9.22,GT,2021-03-28 23:59:18
179,Pevek,69.7008,170.3133,-11.2,95,71,4.38,RU,2021-03-28 23:58:18
180,Faya,18.3851,42.4509,59.0,62,0,5.57,SA,2021-03-29 00:03:18
181,Paharpur,32.1038,70.9724,73.18,43,1,1.5,PK,2021-03-29 00:03:18
182,Erzin,36.9559,36.2,50.0,63,0,8.99,TR,2021-03-29 00:03:19
183,Cam Ranh,11.9214,109.1591,77.0,83,0,3.06,VN,2021-03-29 00:03:19
184,Codrington,-38.2667,141.9667,61.9,61,90,5.59,AU,2021-03-28 23:58:41
185,Souillac,-20.5167,57.5167,75.2,88,20,5.75,MU,2021-03-28 23:58:25
186,Mitu,1.1983,-70.1733,69.69,98,100,2.19,CO,2021-03-29 00:03:19
187,Manzhouli,49.6,117.4333,29.91,53,3,17.78,CN,2021-03-29 00:03:20
188,Abu Dhabi,24.4667,54.3667,73.4,68,0,8.05,AE,2021-03-28 23:59:09
189,Caiaponia,-16.9567,-51.8103,69.51,61,3,1.81,BR,2021-03-29 00:03:20
190,Tuktoyaktuk,69.4541,-133.0374,-13.0,77,90,12.66,CA,2021-03-28 23:57:31
191,Avera,33.194,-82.5271,64.4,78,1,4.61,US,2021-03-28 23:58:33
192,Shelburne,44.0787,-80.2041,37.0,100,99,24.92,CA,2021-03-28 23:59:16
193,Bambous Virieux,-20.3428,57.7575,75.99,88,20,5.75,MU,2021-03-28 23:57:58
194,Saskylakh,71.9167,114.0833,-1.62,97,99,3.4,RU,2021-03-28 23:58:23
195,Rocha,-34.4833,-54.3333,61.72,95,77,3.85,UY,2021-03-28 23:58:05
196,Sibolga,1.7427,98.7792,76.12,87,98,3.15,ID,2021-03-29 00:03:21
197,Kavaratti,10.5669,72.642,82.98,71,100,1.5,IN,2021-03-28 23:59:24
198,Ponta Do Sol,32.6667,-17.1,61.0,54,71,8.99,PT,2021-03-28 23:58:59
199,Ayame,5.6083,-3.1563,75.76,92,36,3.29,CI,2021-03-29 00:03:21
200,Beisfjord,68.3751,17.5988,35.6,69,40,3.44,NO,2021-03-28 23:59:03
201,Siocon,7.7061,122.1353,81.82,76,46,6.89,PH,2021-03-29 00:03:22
202,Berlevag,70.8578,29.0864,30.76,79,74,12.03,NO,2021-03-28 23:58:43
203,Kaitangata,-46.2817,169.8464,64.99,74,42,4.88,NZ,2021-03-28 23:58:17
204,Hithadhoo,-0.6,73.0833,78.85,85,100,32.06,MV,2021-03-28 23:58:08
205,Baijiantan,45.6333,85.1833,48.24,70,99,9.04,CN,2021-03-29 00:03:22
206,Bethel,41.3712,-73.414,57.99,97,100,1.01,US,2021-03-28 23:58:50
207,Klaksvik,62.2266,-6.589,41.0,87,20,12.66,FO,2021-03-28 23:58:49
208,Nguruka,-5.1092,31.0419,64.76,90,78,2.28,TZ,2021-03-28 23:59:52
209,Thompson,55.7435,-97.8558,26.6,59,90,6.91,CA,2021-03-28 23:54:18
210,Cayenne,4.9333,-52.3333,81.0,78,40,10.36,GF,2021-03-28 23:58:17
211,Mexico,15.0646,120.7198,80.6,78,75,2.3,PH,2021-03-29 00:01:09
212,Pontianak,-0.0333,109.3333,75.2,100,75,2.04,ID,2021-03-29 00:03:23
213,Skjervoy,70.0311,20.9714,33.33,75,72,13.62,NO,2021-03-29 00:03:24
214,Wana,32.2989,69.5725,62.87,22,0,8.66,PK,2021-03-29 00:03:24
215,Atar,20.5169,-13.0499,76.03,26,72,7.52,MR,2021-03-28 23:57:52
216,Lodwar,3.1191,35.5973,85.08,41,90,4.81,KE,2021-03-29 00:03:24
217,Dunedin,-45.8742,170.5036,60.01,93,29,3.0,NZ,2021-03-28 23:58:58
218,Pokhara,28.2333,83.9833,64.98,21,1,7.31,NP,2021-03-28 23:59:05
219,Jataizinho,-23.2542,-50.98,78.8,73,0,4.88,BR,2021-03-29 00:03:25
220,Sumbe,-11.2061,13.8437,76.71,82,18,3.62,AO,2021-03-29 00:03:25
221,Ampanihy,-24.7,44.75,67.55,94,0,3.56,MG,2021-03-29 00:03:25
222,Noyabrsk,63.1994,75.4507,4.55,95,94,11.5,RU,2021-03-28 23:59:04
223,Ulaanbaatar,47.9077,106.8832,14.0,73,0,5.46,MN,2021-03-29 00:01:44
224,Cidreira,-30.1811,-50.2056,73.24,83,30,5.3,BR,2021-03-28 23:59:13
225,Waitati,-45.75,170.5667,60.01,92,24,4.0,NZ,2021-03-29 00:03:28
226,Kalmunai,7.4167,81.8167,76.42,81,81,5.7,LK,2021-03-29 00:03:28
227,Ipameri,-17.7219,-48.1597,72.84,61,63,0.69,BR,2021-03-29 00:03:28
228,Erenhot,43.6475,111.9767,34.75,27,60,5.39,CN,2021-03-29 00:03:25
229,Dhidhdhoo,6.8833,73.1,84.18,69,78,14.27,MV,2021-03-29 00:03:29
230,Usinsk,65.9939,57.5281,21.78,96,99,7.0,RU,2021-03-28 23:59:01
231,Sao Filipe,14.8961,-24.4956,69.71,71,50,13.89,CV,2021-03-28 23:59:12
232,Ust-Barguzin,53.45,108.9833,15.55,86,82,5.79,RU,2021-03-29 00:03:29
233,Ojinaga,29.5667,-104.4167,75.2,15,1,11.5,MX,2021-03-29 00:03:30
234,Te Anau,-45.4167,167.7167,61.68,76,80,4.97,NZ,2021-03-29 00:01:23
235,Mar Del Plata,-38.0023,-57.5575,66.0,88,40,11.5,AR,2021-03-28 23:58:14
236,Nyurba,63.2842,118.3319,16.32,94,92,4.54,RU,2021-03-28 23:59:00
237,Aden,12.7794,45.0367,79.65,65,6,7.27,YE,2021-03-29 00:02:46
238,Marinette,45.1,-87.6307,33.8,51,90,9.22,US,2021-03-29 00:03:31
239,Jinxiang,27.4327,120.6062,61.72,82,7,0.67,CN,2021-03-29 00:03:31
240,Chuy,-33.6971,-53.4616,63.36,92,45,4.54,UY,2021-03-28 23:57:00
241,Makakilo City,21.3469,-158.0858,78.8,57,75,9.22,US,2021-03-29 00:03:31
242,Baykit,61.67,96.37,21.25,96,100,1.43,RU,2021-03-28 23:58:02
243,Ziniare,12.5822,-1.2983,78.39,10,0,10.18,BF,2021-03-29 00:03:32
244,Andenes,69.3143,16.1194,33.8,75,97,10.36,NO,2021-03-28 23:58:41
245,Tairua,-37.0167,175.85,69.01,88,100,8.99,NZ,2021-03-29 00:03:32
246,Puerto Penasco,31.3167,-113.5333,73.99,53,0,11.01,MX,2021-03-29 00:03:33
247,Sainte-Savine,48.2964,4.0464,39.2,81,0,4.61,FR,2021-03-29 00:03:33
248,Mecca,21.4267,39.8261,73.11,58,0,5.48,SA,2021-03-29 00:00:07
249,Minbu,20.1833,94.8833,82.42,36,99,5.48,MM,2021-03-29 00:03:33
250,Sinnamary,5.3833,-52.95,77.83,84,98,13.89,GF,2021-03-29 00:03:34
251,Laukaa,58.7372,29.8453,34.39,95,94,4.12,RU,2021-03-29 00:03:34
252,Moerai,-22.4333,-151.3333,81.0,73,3,19.6,PF,2021-03-29 00:03:34
253,Abalak,58.1286,68.5944,18.19,95,98,4.27,RU,2021-03-29 00:03:35
254,Mount Gambier,-37.8333,140.7667,60.8,88,90,4.61,AU,2021-03-29 00:03:35
255,Hobyo,5.3505,48.5268,79.43,79,61,11.01,SO,2021-03-28 23:58:03
256,Hamilton,39.1834,-84.5333,45.0,53,90,16.11,US,2021-03-28 23:57:55
257,Gombong,-7.6072,109.5142,78.04,86,79,2.64,ID,2021-03-29 00:03:35
258,Salalah,17.0151,54.0924,75.2,53,0,3.44,OM,2021-03-28 23:59:21
259,Tanete,-3.9443,119.7848,75.65,93,100,1.28,ID,2021-03-29 00:03:36
260,Bhatkal,13.9667,74.5667,79.61,87,86,3.83,IN,2021-03-29 00:03:36
261,Pangai,-19.8,-174.35,86.0,74,20,17.27,TO,2021-03-29 00:03:36
262,New Waterford,40.8451,-80.6145,41.0,62,94,11.99,US,2021-03-29 00:03:37
263,Hami,42.8,93.45,57.11,27,87,9.69,CN,2021-03-28 23:58:40
264,Luderitz,-26.6481,15.1594,61.29,85,0,4.92,NA,2021-03-28 23:58:03
265,Vemalwada,18.4667,78.8833,77.18,22,2,3.67,IN,2021-03-29 00:03:37
266,Atasu,48.6814,71.6433,21.38,90,96,12.3,KZ,2021-03-29 00:00:24
267,Corner Brook,48.9667,-57.9484,30.2,55,1,13.8,CA,2021-03-29 00:03:38
268,Lorengau,-2.0226,147.2712,83.77,77,100,9.73,PG,2021-03-28 23:59:00
